sample,excitation_props,repetitions,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,on_intensity,on_polarization,off_intensity,off_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x00000183ECDF5B70>,<__main__.ExcitationProperties object at 0x000001840322FDF0>,4,128147.0,363.16594003292767,357732.75,615.9810772255914,485879.75,937.2039199128437,0.3582195560966614,0.0006191655250502242,20230524_162812,[],0.01,"(1, 0, 0)",0.001,"(0, 1, 0)",<class '__main__.rsEGFP2'>,20000000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000183ECDF6020>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000183ECDF5480>
<__main__.SampleProperties object at 0x000001840327EFB0>,<__main__.ExcitationProperties object at 0x000001840327D7B0>,4,128043.75,121.11022871747869,357245.75,264.33158626997266,485289.5,371.3606737391562,0.3584192265483471,0.0001881268902521142,20230524_163621,[],0.01,"(1, 0, 0)",0.001,"(0, 1, 0)",<class '__main__.rsEGFP2'>,20000000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000183ECDF6020>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000001840327EF80>
<__main__.SampleProperties object at 0x000001840327E740>,<__main__.ExcitationProperties object at 0x000001840327E350>,4,126906.5,344.19362283459003,351938.75,469.77993518242135,478845.25,711.7943435431332,0.3605925416942848,0.0008364164871135245,20230524_164405,[],0.01,"(1, 0, 0)",0.001,"(0, 1, 0)",<class '__main__.rsEGFP2'>,20000000.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000183ECDF6020>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000001840327E830>
<__main__.SampleProperties object at 0x000001840327D8D0>,<__main__.ExcitationProperties object at 0x000001840327E020>,4,126450.0,325.1653425566753,343172.0,514.2314653927742,469622.0,556.8172949900173,0.36847520074055057,0.0011793084439719803,20230524_165146,[],0.01,"(1, 0, 0)",0.001,"(0, 1, 0)",<class '__main__.rsEGFP2'>,20000000.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000183ECDF6020>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000001840327E590>
<__main__.SampleProperties object at 0x00000183ECDF4BB0>,<__main__.ExcitationProperties object at 0x000001840327EE30>,4,126621.5,331.95218029107747,301088.75,541.1591147712473,427710.25,759.4281977251043,0.42054583682461544,0.0009916647529742261,20230524_165931,[],0.01,"(1, 0, 0)",0.001,"(0, 1, 0)",<class '__main__.rsEGFP2'>,20000000.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000183ECDF6020>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000001840327F160>
<__main__.SampleProperties object at 0x000001840327ED70>,<__main__.ExcitationProperties object at 0x000001840327F280>,4,579510.25,453.0101406149756,1602985.75,579.997144389522,2182496.0,517.095252347186,0.36151937808286216,0.00036818805133395676,20230524_170711,[],0.01,"(1, 0, 0)",0.005,"(0, 1, 0)",<class '__main__.rsEGFP2'>,20000000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000183ECDF6020>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000001840327FC40>
<__main__.SampleProperties object at 0x000001840327E8F0>,<__main__.ExcitationProperties object at 0x000001840327E6B0>,4,579016.5,506.1899347083069,1599914.25,747.0700686682609,2178930.75,1229.344006980959,0.36190465110853187,0.0001735357535134531,20230524_171506,[],0.01,"(1, 0, 0)",0.005,"(0, 1, 0)",<class '__main__.rsEGFP2'>,20000000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000183ECDF6020>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000001840327F250>
<__main__.SampleProperties object at 0x000001840327EEC0>,<__main__.ExcitationProperties object at 0x000001840327E170>,4,575033.75,437.28616202665273,1568664.25,918.1983377789354,2143698.0,1340.7619102584918,0.3665753865133435,0.00010013112543231104,20230524_172300,[],0.01,"(1, 0, 0)",0.005,"(0, 1, 0)",<class '__main__.rsEGFP2'>,20000000.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000183ECDF6020>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000001840327FA60>
<__main__.SampleProperties object at 0x00000183ECDF4640>,<__main__.ExcitationProperties object at 0x000001840327FEB0>,4,572686.25,376.0055684428091,1515506.5,1411.9175790392298,2088192.75,1731.6663037375301,0.3778845304038077,0.00020833797299583024,20230524_173454,[],0.01,"(1, 0, 0)",0.005,"(0, 1, 0)",<class '__main__.rsEGFP2'>,20000000.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000183ECDF6020>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000001840327F370>
<__main__.SampleProperties object at 0x000001840327E050>,<__main__.ExcitationProperties object at 0x000001840327E740>,4,577150.75,1471.2150378173817,1295537.0,709.4832626637502,1872687.75,811.0053560242374,0.4454922546372479,0.0013723163108369392,20230524_175157,[],0.01,"(1, 0, 0)",0.005,"(0, 1, 0)",<class '__main__.rsEGFP2'>,20000000.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000183ECDF6020>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000001840327DB40>
<__main__.SampleProperties object at 0x000001840322FFA0>,<__main__.ExcitationProperties object at 0x000001840327F2B0>,4,1034640.25,596.0450381472863,2817405.5,601.7036230570662,3852045.75,468.83439240311714,0.36723161983464786,0.0002719001294525958,20230524_180918,[],0.01,"(1, 0, 0)",0.01,"(0, 1, 0)",<class '__main__.rsEGFP2'>,20000000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000183ECDF6020>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000001840327E290>
<__main__.SampleProperties object at 0x000001840327F370>,<__main__.ExcitationProperties object at 0x000001840327EAA0>,4,1033929.0,1091.7369188591178,2815012.0,1280.2948879066885,3848941.0,2184.907435110238,0.3672911052807347,0.0002969770256054716,20230524_182520,[],0.01,"(1, 0, 0)",0.01,"(0, 1, 0)",<class '__main__.rsEGFP2'>,20000000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000183ECDF6020>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000001840327C250>
