sample,excitation_props,repetitions,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,on_intensity,on_polarization,off_intensity,off_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x00000213B532C850>,<__main__.ExcitationProperties object at 0x00000213D0780160>,4,782565.25,543.2068551666115,2244918.25,1304.991642693546,3027483.5,1663.7323252254253,0.34859413832830954,0.00021539896524626055,20230525_184526,[],0.01,"(1, 0, 0)",0.002,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000213B532E410>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000213D072F910>
<__main__.SampleProperties object at 0x000002141B44A950>,<__main__.ExcitationProperties object at 0x000002141B44AA70>,4,782104.25,248.37106816213517,2245599.75,911.8641277624644,3027704.0,1081.601821374206,0.3482830443474216,0.0001145293508520809,20230526_021924,[],0.01,"(1, 0, 0)",0.002,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000213B532E410>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000002141B44A230>
