sample,excitation_props,repetitions,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,on_intensity,on_polarization,off_intensity,off_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x000002DB0AEAA110>,<__main__.ExcitationProperties object at 0x000002DB2645C130>,4,18799.25,141.16014841307017,54188.5,209.15245635660128,72987.75,218.87710592933195,0.34693105619306086,0.003218653253025914,20230526_201210,[],0.01,"(1, 0, 0)",0.002,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002DB0AEAA410>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000002DB2640F910>
<__main__.SampleProperties object at 0x000002DB976F28F0>,<__main__.ExcitationProperties object at 0x000002DB976F2260>,4,18816.75,107.92213628352619,54133.5,133.23194061485407,72950.25,192.75680921824784,0.3475997707031261,0.0019423990143064608,20230527_034836,[],0.01,"(1, 0, 0)",0.002,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002DB0AEAA410>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000002DB976F28C0>
<__main__.SampleProperties object at 0x000002DB976F2E30>,<__main__.ExcitationProperties object at 0x000002DB976F2A70>,4,18545.5,36.33524459804833,54474.0,98.61287948336161,73019.5,87.50571409913755,0.34044850171214086,0.0010995180986778145,20230527_112001,[],0.01,"(1, 0, 0)",0.002,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002DB0AEAA410>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000002DB976F2110>
<__main__.SampleProperties object at 0x000002DB976F2D40>,<__main__.ExcitationProperties object at 0x000002DB976F20E0>,4,18511.75,77.27992947719349,54536.25,129.14405716098594,73048.0,191.69898278290367,0.3394388948121764,0.0010208673682833166,20230527_184710,[],0.01,"(1, 0, 0)",0.002,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002DB0AEAA410>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000002DB976F2DA0>
<__main__.SampleProperties object at 0x000002DB976F2410>,<__main__.ExcitationProperties object at 0x000002DB976F2890>,4,18353.25,52.11705574953366,54943.5,171.9396696518869,73296.75,181.26827494076286,0.3340417751439607,0.001389254628383097,20230528_021400,[],0.01,"(1, 0, 0)",0.002,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002DB0AEAA410>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000002DB976F2E00>
<__main__.SampleProperties object at 0x000002DB976F2B00>,<__main__.ExcitationProperties object at 0x000002DB976F2260>,4,92185.5,179.53063805378736,264496.75,435.4207017356892,356682.25,570.7812080823965,0.3485318943795065,0.0005215231066048069,20230528_090642,[],0.01,"(1, 0, 0)",0.01,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002DB0AEAA410>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000002DB976F3010>
<__main__.SampleProperties object at 0x000002DB2640FA60>,<__main__.ExcitationProperties object at 0x000002DBA04AEF50>,4,91983.0,235.64910354168546,265922.25,247.34426918770527,357905.25,406.4937730150365,0.3459018132860911,0.0008074611571829699,20230528_160715,[],0.01,"(1, 0, 0)",0.01,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002DB0AEAA410>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000002DB0AEA8E80>
<__main__.SampleProperties object at 0x000002DB976F2260>,<__main__.ExcitationProperties object at 0x000002DBA04AF040>,4,91289.25,229.66320449736827,266616.5,50.76169815914357,357905.75,186.6525850343359,0.3423992578179187,0.0009191731277952342,20230528_230624,[],0.01,"(1, 0, 0)",0.01,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002DB0AEAA410>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000002DB976F2F50>
<__main__.SampleProperties object at 0x000002DB2640F910>,<__main__.ExcitationProperties object at 0x000002DBA04AEB00>,4,90663.75,269.883655488805,268027.5,537.0626127370998,358691.25,462.11923515473796,0.33826524907827005,0.0014728880525974636,20230529_060635,[],0.01,"(1, 0, 0)",0.01,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002DB0AEAA410>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000002DB976F2920>
<__main__.SampleProperties object at 0x000002DB976F20E0>,<__main__.ExcitationProperties object at 0x000002DBA04AEAA0>,4,89999.75,157.1565700185646,267328.5,554.776756903171,357328.25,613.9569915718853,0.33666464603835783,0.0007915701858996465,20230529_125902,[],0.01,"(1, 0, 0)",0.01,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002DB0AEAA410>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x000002DB976F2B90>
