sample,excitation_props,repetitions,collection_time_point,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,excitation_intensity,excitation_polarization,trigger_intensity,trigger_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x000002D6F21B2530>,<__main__.ExcitationProperties object at 0x000002D6F21B47F0>,10,14.149912974345758,1845.9,59.08713904057295,776.3,23.558650216003464,2622.2,42.42357834978092,2.38190239042165,0.14192094666145355,20230530_131330,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21B4FD0>
<__main__.SampleProperties object at 0x000002D6F21B35B0>,<__main__.ExcitationProperties object at 0x000002D6F21B5C00>,10,14.649713983072855,1834.7,42.91864396739487,772.8,22.003636063160105,2607.5,54.1040663906143,2.3754681136774067,0.07192423527410106,20230530_131336,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21B5F00>
<__main__.SampleProperties object at 0x000002D6F21B6AD0>,<__main__.ExcitationProperties object at 0x000002D6F21B60E0>,10,15.167168884709225,1865.3,28.879231291708578,760.4,25.03677295499562,2625.7,31.025956874849165,2.45609306912212,0.09951249569486936,20230530_131341,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21B6E30>
<__main__.SampleProperties object at 0x000002D6F21B7760>,<__main__.ExcitationProperties object at 0x000002D6F21B78B0>,10,15.702901247293774,1850.9,33.001363608190495,770.3,29.12061125732082,2621.2,43.98135968794053,2.4063211565954754,0.10214769614047345,20230530_131346,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21B7D30>
<__main__.SampleProperties object at 0x000002D6F21B7F10>,<__main__.ExcitationProperties object at 0x000002D6F21B8B80>,10,16.257556664437942,1842.2,24.599999999999998,766.5,26.45845800495562,2608.7,21.711978260858682,2.406935350128626,0.10569027131142479,20230530_131351,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21B7FA0>
<__main__.SampleProperties object at 0x000002D6F21B5840>,<__main__.ExcitationProperties object at 0x000002D6F21B9B40>,10,16.831803533309568,1848.1,32.11993150677629,791.6,27.0377513857939,2639.7,41.878514777866705,2.3372646429797874,0.0869893963936885,20230530_131357,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21B95D0>
<__main__.SampleProperties object at 0x000002D6F21BA740>,<__main__.ExcitationProperties object at 0x000002D6F21BA050>,10,17.4263338600965,1853.6,46.76579946927028,768.1,36.645463566449806,2621.7,61.502926759626654,2.4187196947867733,0.13171614837627418,20230530_131404,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BAAA0>
<__main__.SampleProperties object at 0x000002D6F21BB280>,<__main__.ExcitationProperties object at 0x000002D6F21BAB90>,10,18.04186409392072,1874.7,34.493622598967484,769.7,26.582136859176693,2644.4,34.13854126936299,2.4391793918232056,0.11142636677971801,20230530_131411,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BBA60>
<__main__.SampleProperties object at 0x000002D6F21BBD00>,<__main__.ExcitationProperties object at 0x000002D6F21BC4C0>,10,18.67913599020783,1873.1,58.68977764483351,760.7,15.703821191035003,2633.8,58.97084025177189,2.4635695837137765,0.09739304169762518,20230530_131419,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BBB20>
<__main__.SampleProperties object at 0x000002D6F21BB9A0>,<__main__.ExcitationProperties object at 0x000002D6F21BD900>,10,19.338917504552313,1859.8,36.57266738973246,778.2,24.762067765031254,2638.0,41.06336566819627,2.3924815865090614,0.09389455361443802,20230530_131427,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BA0E0>
