molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time,bleach_rate
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,152,399,697,0.3827244425834103,0.0590272187083861,4.482329925453025,0.8328241523770075,20230523192839,1,0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,291,794,1346,0.36958370473276997,0.06348681125066537,17.546212004739203,0.36155883062794447,20230523192839,2,12.5,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,435,1224,2066,0.3577868615905181,0.037039237676987746,29.391945275111908,0.4196570637702406,20230523192839,3,25.0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,549,1501,2615,0.3675437278555817,0.035045856217376686,42.10081669973038,0.2623296172176742,20230523192839,4,37.5,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,660,1960,3340,0.3382477044941691,0.04944851669592667,54.558938435307574,0.35555109974325094,20230523192839,5,50.0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,855,2299,4018,0.37205420300977093,0.05503644354356102,67.03908830509502,0.37683380201601097,20230523192839,6,62.5,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,1002,2661,4652,0.3772193203936549,0.03407280997562981,79.59531951921696,0.2586566012980115,20230523192839,7,75.0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,1159,2985,5306,0.38864087768846883,0.04226450352719472,92.1280881269009,0.20850265409869242,20230523192839,8,87.5,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,138,373,628,0.3737572787305533,0.06938373649741929,4.449842275062137,0.7762529545669085,20230523192900,1,0,0.1
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,270,761,1292,0.35923558142524425,0.06488897124486817,17.18568704545647,0.7983235901663651,20230523192900,2,12.5,0.1
