molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time,bleach_rate
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,394,1147,1943,0.3479803220237402,0.08217589460858188,29.4829580544373,0.3867229564669632,20230523192901,3,25.0,0.1
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,509,1390,2439,0.36034101593816414,0.06283148011734777,41.97941516650784,0.9603924681724864,20230523192901,4,37.5,0.1
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,679,1823,3210,0.3731434574125593,0.03341479941757137,54.70271195274229,0.258723311306411,20230523192901,5,50.0,0.1
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,844,2088,3768,0.40473973243730355,0.0370777744749685,67.09095081951622,0.31602009285755855,20230523192901,6,62.5,0.1
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,976,2441,4433,0.4006084717194585,0.03249182081217386,79.60741303040314,0.24365757307511013,20230523192901,7,75.0,0.1
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,1068,2655,4812,0.403179634017582,0.02579497899198714,92.11907493918854,0.29512079747506564,20230523192901,8,87.5,0.1
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,816.8140899333462,260.0,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,152,397,687,0.40049533909696783,0.12817364441695014,4.660192085481791,0.45677510371426044,20230523192922,1,0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,816.8140899333462,260.0,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,276,795,1346,0.35221108894973197,0.10118895854872437,16.9920103761884,0.5268434291819177,20230523192922,2,12.5,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,816.8140899333462,260.0,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,396,1172,1970,0.3422470970645345,0.07681731242934915,29.591872277011493,0.33671070211629966,20230523192922,3,25.0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,816.8140899333462,260.0,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,513,1492,2564,0.34629377333820865,0.061329919435918465,42.25561438929143,0.3814312841945665,20230523192922,4,37.5,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,816.8140899333462,260.0,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,688,1893,3273,0.36524156882442804,0.06488412452644957,54.626875966082174,0.407089600031534,20230523192922,5,50.0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,816.8140899333462,260.0,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,860,2251,3984,0.383576189484403,0.06182608800402705,67.10227729685884,0.2127629076160841,20230523192922,6,62.5,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,816.8140899333462,260.0,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,943,2449,4336,0.3868072740165435,0.04630831119091788,79.55361252788859,0.1949087511988145,20230523192922,7,75.0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,816.8140899333462,260.0,,,10,<function photobleach at 0x0000022988F25240>,"(0, 1, 0)",0.001,,,,,1124,2835,5052,0.3981862626992379,0.05309519849021576,92.01889562637069,0.23665691312641,20230523192922,8,87.5,0.05
