molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,ratio_xy_mean,ratio_xy_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,10000,10.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,100639,34650,2.9068335662587557,0.09475958648083199,20230425170959,1,10025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,20000,20.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,100141,34810,2.8797699096134526,0.107748439292454,20230425171010,1,20025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,30000,30.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,95127,32405,2.9388858985378694,0.1146632937307308,20230425171020,1,30025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,40000,40.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,93942,31173,3.0174364945776064,0.12647259185294754,20230425171037,1,40025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,50000,50.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,90485,32163,2.816294885439512,0.10588571124394495,20230425171053,1,50025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,60000,60.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,91335,30733,2.975954566090087,0.12948737809639232,20230425171113,1,60025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,70000,70.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,86909,31825,2.7332281314932105,0.09614908757704653,20230425171139,1,70025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,80000,80.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,84129,30026,2.804526023772021,0.10318375617815441,20230425171219,1,80025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,90000,90.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,89026,30002,2.9728840612254555,0.15179849059282755,20230425171258,1,90025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,100000,100.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,84451,29187,2.8966602549356115,0.11434700484936124,20230425171344,1,100025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,110000,110.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,85968,28594,3.0100626114364615,0.12125885065892712,20230425171420,1,110025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,120000,120.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,79810,28723,2.782237824520987,0.11625570549315156,20230425171459,1,120025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,130000,130.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,78559,28663,2.7439831018413,0.10872616593017854,20230425171545,1,130025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,140000,140.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,77629,27475,2.829291447958223,0.12045610584541065,20230425171639,1,140025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,150000,150.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,76132,25341,3.0079948542313235,0.12218664910344412,20230425171726,1,150025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,160000,160.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,73480,24910,2.953938197726549,0.12449493758723554,20230425171813,1,160025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,170000,170.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,72447,24405,2.972497073870886,0.1266082816593496,20230425171858,1,170025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,180000,180.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,73314,24180,3.037913993184915,0.15598681311653062,20230425171938,1,180025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,190000,190.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,71701,25151,2.853592053075249,0.10280864827315334,20230425172024,1,190025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,200000,200.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,71092,24570,2.8992543482503503,0.15122782939715385,20230425172107,1,200025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,210000,210.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,67503,23291,2.9021987326379883,0.12418355497436119,20230425172145,1,210025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,220000,220.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,66489,22118,3.0105240857136106,0.13796838483588741,20230425172228,1,220025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,230000,230.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,64385,21999,2.9308061437216715,0.12947712934719313,20230425172313,1,230025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,240000,240.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,66738,22864,2.924284444261035,0.14603118575080581,20230425172352,1,240025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,250000,250.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,62624,21357,2.936982352260105,0.1380678436260059,20230425172433,1,250025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,260000,260.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,60928,20918,2.9186971500094874,0.15358683719413457,20230425172520,1,260025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,270000,270.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,63438,22068,2.879458153398174,0.1426456241438946,20230425172605,1,270025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,280000,280.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,57077,20540,2.7838811304223583,0.14476949620463375,20230425172650,1,280025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,290000,290.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,56488,20784,2.723933600434776,0.1491990655257837,20230425172729,1,290025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,300000,300.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,55889,18793,2.978626241210444,0.1376896444907808,20230425172813,1,300025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,310000,310.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,57536,19442,2.9651200605685353,0.15643459838917864,20230425172857,1,310025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,320000,320.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,53348,18922,2.8234584217354812,0.12957410342086637,20230425172937,1,320025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,330000,330.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,51070,18312,2.796018138409619,0.16312953103937405,20230425173017,1,330025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,340000,340.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,51513,18202,2.8361595837895566,0.15144447220360283,20230425173102,1,340025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,350000,350.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,51475,17999,2.8654254752279025,0.14476051167512943,20230425173142,1,350025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,360000,360.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,53158,17665,3.0174448201585777,0.17804397024000948,20230425173222,1,360025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,370000,370.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,48769,16483,2.9626355693528263,0.12791539015898803,20230425173313,1,370025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,380000,380.0,50,<function gentle_check at 0x00000150569C0DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,47266,16565,2.858002121790501,0.1349339667271459,20230425173402,1,380025
