molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,ratio_xy_mean,ratio_xy_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,10000,10.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,108,50,2.5075000000000003,1.1623636253474487,20230425143814,1,10025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,20000,20.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,76,39,2.242142857142857,1.0589232112608253,20230425143816,1,20025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,30000,30.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,85,19,7.350476190476191,6.496585253396474,20230425143817,1,30025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,40000,40.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,89,24,4.68,2.604726473163737,20230425143819,1,40025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,50000,50.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,83,32,2.834285714285714,0.9519839648795325,20230425143822,1,50025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,60000,60.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,75,25,4.068888888888888,2.3288252747885205,20230425143824,1,60025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,70000,70.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,89,26,4.066666666666666,1.7633616884928751,20230425143828,1,70025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,80000,80.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,76,18,5.4,2.727636339397171,20230425143832,1,80025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,90000,90.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,79,38,2.557142857142857,1.650077301837952,20230425143836,1,90025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,100000,100.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,69,27,3.241666666666667,1.9515663224987028,20230425143840,1,100025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,110000,110.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,86,32,3.2666666666666666,1.9339079605813716,20230425143845,1,110025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,120000,120.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,89,22,4.15,0.6244997998398398,20230425143850,1,120025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,130000,130.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,92,25,3.8266666666666667,0.8929725639682331,20230425143855,1,130025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,140000,140.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,129,39,3.495,0.9762684057163789,20230425143902,1,140025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,150000,150.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,66,23,2.976666666666667,0.6262409901769268,20230425143908,1,150025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,160000,160.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,62,26,2.393333333333333,0.28782710859897204,20230425143915,1,160025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,170000,170.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,63,22,5.246666666666667,5.914862635767631,20230425143922,1,170025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,180000,180.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,62,14,4.883333333333333,1.8284784202536637,20230425143930,1,180025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,190000,190.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,80,14,6.25,2.1550973166992815,20230425143938,1,190025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,200000,200.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,65,30,2.317857142857143,0.6752172741769413,20230425143946,1,200025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,210000,210.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,95,46,2.1486652236652235,0.49226128844164907,20230425143955,1,210025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,220000,220.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,48,27,2.0495238095238095,1.1550366879744094,20230425144004,1,220025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,230000,230.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,73,45,1.6882034632034633,0.47481407731168107,20230425144012,1,230025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,240000,240.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,80,25,3.9733333333333327,1.9074590428106182,20230425144022,1,240025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,7853.981633974483,2500.0,250000,250.0,5,<function gentle_check at 0x000001B89D084E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,59,28,2.2600000000000002,0.7512927633928937,20230425144034,1,250025
