molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,ratio_xy_mean,ratio_xy_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,4773,11507,0.41479099678456594,0.0,20230508130755,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,2940,7400,0.3972972972972973,0.0,20230508130755,2,125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,2018,5078,0.39740055139818825,0.0,20230508130755,3,225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,1365,3423,0.3987730061349693,0.0,20230508130755,4,325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,964,2363,0.4079559881506559,0.0,20230508130755,5,425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,708,1774,0.399098083427283,0.0,20230508130755,6,525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,492,1222,0.4026186579378069,0.0,20230508130755,7,625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,304,903,0.33665559246954596,0.0,20230508130755,8,725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,239,590,0.40508474576271186,0.0,20230508130755,9,825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,170,469,0.3624733475479744,0.0,20230508130755,10,925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,112,304,0.3684210526315789,0.0,20230508130755,11,1025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,103,247,0.41700404858299595,0.0,20230508130755,12,1125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,69,184,0.375,0.0,20230508130755,13,1225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,48,133,0.3609022556390977,0.0,20230508130755,14,1325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,39,105,0.37142857142857144,0.0,20230508130755,15,1425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,29,69,0.42028985507246375,0.0,20230508130755,16,1525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,18,64,0.28125,0.0,20230508130755,17,1625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,16,41,0.3902439024390244,0.0,20230508130755,18,1725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,12,35,0.34285714285714286,0.0,20230508130755,19,1825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,5,36,0.1388888888888889,0.0,20230508130755,20,1925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,8,24,0.3333333333333333,0.0,20230508130755,21,2025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,8,21,0.38095238095238093,0.0,20230508130755,22,2125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,7,10,0.7,0.0,20230508130755,23,2225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,8,13,0.6153846153846154,0.0,20230508130755,24,2325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,3,13,0.23076923076923078,0.0,20230508130755,25,2425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,3,12,0.25,0.0,20230508130755,26,2525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,4,8,0.5,0.0,20230508130755,27,2625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,3,8,0.375,0.0,20230508130755,28,2725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,4,8,0.5,0.0,20230508130755,29,2825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,2,6,0.3333333333333333,0.0,20230508130755,30,2925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,4,3,1.3333333333333333,0.0,20230508130755,31,3025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,5,0.2,0.0,20230508130755,32,3125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,3,5,0.6,0.0,20230508130755,33,3225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,5,nan,nan,20230508130755,34,3325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,2,0.5,0.0,20230508130755,35,3425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,3,nan,nan,20230508130755,36,3525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,2,2,1.0,0.0,20230508130755,37,3625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,5,0.2,0.0,20230508130755,38,3725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,3,0.3333333333333333,0.0,20230508130755,39,3825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,1,nan,nan,20230508130755,40,3925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,0,0.0,0.0,20230508130755,41,4025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,0,nan,nan,20230508130755,42,4125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,2,0.5,0.0,20230508130755,43,4225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,1,nan,nan,20230508130755,44,4325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x000001837E541090>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,3,0.3333333333333333,0.0,20230508130755,45,4425
