molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x00000181B6791120>,"(0, 1, 0)",2,nan,nan,circular,0.0001,720,975,2111,0.73870416704102,0.05741972762499942,113828.50131147639,3424.556074187207,20230516155423,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x00000181B6791120>,"(0, 1, 0)",2,nan,nan,circular,0.0005,1803,2633,5482,0.6865642429560976,0.06498016607208007,83729.41107669058,5726.3715153349085,20230516164137,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x00000181B6791120>,"(0, 1, 0)",2,nan,nan,circular,0.001,2122,3375,6855,0.6285429833716182,0.012394917547864124,57161.458311401315,480.8867668500643,20230516171107,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x00000181B6791120>,"(0, 1, 0)",2,nan,nan,circular,0.005,2292,4832,9080,0.47432940014314234,0.017281456178241908,15764.47277997916,232.58647044114906,20230516172855,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x00000181B6791120>,"(0, 1, 0)",2,nan,nan,circular,0.01,2310,5064,9493,0.4562629097209679,0.016062613224595894,8227.953978977139,245.8190720964961,20230516173643,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x00000181B6791120>,"(0, 1, 0)",2,nan,nan,circular,0.05,2143,5374,9536,0.39873507415928283,0.014299859579083344,1635.2785354284351,3.1732552270817584,20230516174039,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x00000181B6791120>,"(0, 1, 0)",2,nan,nan,circular,0.1,2260,5392,9841,0.41909114977765843,0.006377290241366163,793.1519774215,46.213422665680945,20230516174209,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x00000181B6791120>,"(0, 1, 0)",2,nan,nan,circular,0.5,2149,5502,9807,0.39101486906468025,0.025908915625091015,128.17931442031764,0.3434947617587776,20230516174250,1,25
