molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,ratio_xy_mean,ratio_xy_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,10000,10.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,82,33,2.9294871794871797,0.9272462819144269,20230425144024,1,10025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,20000,20.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,71,17,4.726666666666667,2.046395204581298,20230425144026,1,20025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,30000,30.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,70,19,4.016666666666667,1.1479450238481712,20230425144028,1,30025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,40000,40.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,111,22,8.880952380952381,9.150046776332365,20230425144030,1,40025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,50000,50.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,69,14,6.6,4.374928570845472,20230425144032,1,50025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,60000,60.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,76,18,6.380000000000001,5.446613626832732,20230425144035,1,60025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,70000,70.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,87,17,5.2666666666666675,1.34412301024373,20230425144037,1,70025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,80000,80.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,81,26,3.979047619047619,2.7635111912761254,20230425144040,1,80025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,90000,90.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,82,22,3.79,0.5885575587824864,20230425144043,1,90025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,100000,100.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,51,28,1.92,0.48332183894378283,20230425144046,1,100025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,110000,110.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,59,19,3.666666666666667,1.7151287609583912,20230425144049,1,110025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,120000,120.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,67,20,3.9095238095238094,1.3725648401306263,20230425144053,1,120025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,130000,130.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,46,20,2.466666666666667,0.7575545451575675,20230425144057,1,130025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,140000,140.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,58,20,3.3,1.2927146286443545,20230425144101,1,140025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,150000,150.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,50,23,2.309047619047619,0.478732263900049,20230425144106,1,150025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,160000,160.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,72,22,3.4033333333333333,0.7650998482405927,20230425144112,1,160025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,170000,170.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,43,16,3.183333333333333,1.4027750275000541,20230425144118,1,170025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,180000,180.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,77,20,4.978571428571429,2.518867578407214,20230425144123,1,180025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,190000,190.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,69,18,4.42,2.2114700992778533,20230425144128,1,190025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,200000,200.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,51,21,2.5833333333333335,0.664580067912563,20230425144134,1,200025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,210000,210.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,36,23,2.0142857142857142,1.327388105895736,20230425144141,1,210025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,220000,220.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,64,31,2.397222222222222,1.079751914807686,20230425144147,1,220025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,230000,230.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,53,8,7.7,3.515679166249389,20230425144154,1,230025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,240000,240.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,35,14,2.9066666666666667,1.1082318249255332,20230425144202,1,240025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,250000,250.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,37,18,2.6380952380952385,1.2555003700271545,20230425144209,1,250025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,260000,260.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,62,17,3.7333333333333334,0.6980130530457308,20230425144216,1,260025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,270000,270.0,5,<function gentle_check at 0x000002B75FDB4E50>,"(0, 1, 0)",2,"(1, 0, 0)",2,"(1, 0, 0)",0.25,35,20,2.828888888888889,1.724788052822866,20230425144224,1,270025
