molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,50,0.05,5,<function gentle_check at 0x0000022BC49A0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,6615,4239,13170,1.5637114812474695,0.09291829625799215,76.36464146918033,0.04884273103978885,20230508152655,1,75
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,100,0.1,5,<function gentle_check at 0x0000022BC49A0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,7208,3995,13661,1.8081191344783427,0.0967207637273523,126.36905294217604,0.03258687272475893,20230508152657,1,125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,150,0.15,5,<function gentle_check at 0x0000022BC49A0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,7703,4158,14550,1.8531772716475028,0.058715882838451354,176.39733783886058,0.0350161848425416,20230508152659,1,175
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,200,0.2,5,<function gentle_check at 0x0000022BC49A0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8154,3986,14943,2.0468328307351698,0.0666014186939889,226.38642034151252,0.02758603116332956,20230508152702,1,225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,250,0.25,5,<function gentle_check at 0x0000022BC49A0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8609,3762,15292,2.2887233420128017,0.03959996902964171,276.3610745509976,0.030701446425316335,20230508152703,1,275
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,300,0.3,5,<function gentle_check at 0x0000022BC49A0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8969,3792,15907,2.3673766886695953,0.10217001489877227,326.3936948936165,0.02028470510839648,20230508152706,1,325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,350,0.35,5,<function gentle_check at 0x0000022BC49A0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9052,3640,15792,2.4898042125513236,0.09714717503849855,376.3979197915529,0.04189310171655062,20230508152708,1,375
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,400,0.4,5,<function gentle_check at 0x0000022BC49A0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9252,3701,16125,2.5058095360388872,0.14191038064224828,426.3826381529292,0.02778885573875273,20230508152711,1,425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,450,0.45,5,<function gentle_check at 0x0000022BC49A0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9473,3673,16449,2.5805730702745744,0.061327300001338306,476.4014588329557,0.036518098580407825,20230508152713,1,475
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,500,0.5,5,<function gentle_check at 0x0000022BC49A0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9561,3641,16483,2.6309037814949363,0.1297346877486931,526.3636214993724,0.05403562483384398,20230508152715,1,525
