molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,ratio_xy_mean,ratio_xy_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,50,0.05,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,63806,43079,1.4823678869458952,0.05656501671519205,20230425171123,1,75
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,100,0.1,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,73177,42293,1.7319077416670228,0.06780930431191448,20230425171132,1,125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,150,0.15,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,78448,41127,1.9091126050509724,0.07024172629923382,20230425171142,1,175
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,200,0.2,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,81512,39696,2.055023276449828,0.07196106892590322,20230425171152,1,225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,250,0.25,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,86531,38893,2.226400011403575,0.07275359298699798,20230425171204,1,275
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,300,0.3,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,90650,39477,2.2979531869092225,0.07770794203301097,20230425171215,1,325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,350,0.35,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,90460,37305,2.42686626274793,0.0828895311464543,20230425171227,1,375
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,400,0.4,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,92038,38486,2.392989919678673,0.07183361709340558,20230425171238,1,425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,450,0.45,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,95692,37504,2.554258805431288,0.099413794142901,20230425171250,1,475
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,500,0.5,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,96629,37301,2.593582263218874,0.10240221800643802,20230425171303,1,525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,550,0.55,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,94305,36432,2.590924168360209,0.09243975327724577,20230425171315,1,575
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,600,0.6,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,95646,35511,2.6956246318956345,0.0900339970717001,20230425171327,1,625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,650,0.65,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,98037,35230,2.785150030202077,0.09508160562963947,20230425171339,1,675
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,700,0.7,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,101068,37096,2.726996459092,0.0959940039672136,20230425171352,1,725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,750,0.75,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,99815,36609,2.7295600425608573,0.10734233442594938,20230425171404,1,775
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,800,0.8,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,98882,35381,2.7973332028289972,0.09888409887877321,20230425171418,1,825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,850,0.85,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,99350,36433,2.729412302499926,0.09794035627808627,20230425171432,1,875
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,900,0.9,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,101982,36560,2.791278198970452,0.08601410823002861,20230425171450,1,925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,950,0.95,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,101603,36225,2.807335085129407,0.09865611348829523,20230425171507,1,975
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,1000,1.0,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,102384,35881,2.8556866299960837,0.0956987066886775,20230425171522,1,1025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,1050,1.05,50,<function gentle_check at 0x0000020FD5270DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,98395,34460,2.8574141758904865,0.0912428588035741,20230425171536,1,1075
