molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,ratio_xy_mean,ratio_xy_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,10000,10.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,113,51,2.303809523809524,0.513680419809968,20230425145229,1,10025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,20000,20.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,61,51,1.3517948717948716,0.6831770158436163,20230425145229,1,20025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,30000,30.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,141,62,2.5180672268907562,0.9409069908994536,20230425145229,1,30025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,40000,40.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,97,35,2.961904761904762,0.916371628462627,20230425145229,1,40025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,50000,50.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,104,36,3.099047619047619,0.9631024028353324,20230425145230,1,50025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,60000,60.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,71,36,2.4613636363636364,1.4712004181415124,20230425145230,1,60025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,70000,70.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,69,25,3.058333333333333,0.8738484485945551,20230425145230,1,70025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,80000,80.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,82,45,1.8288888888888888,0.10460979818613177,20230425145230,1,80025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,90000,90.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,79,22,3.9933333333333336,1.600055554591083,20230425145231,1,90025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,100000,100.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,75,24,3.3133333333333335,0.8065289138579529,20230425145231,1,100025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,110000,110.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,85,28,3.1352380952380954,0.8009608741976507,20230425145232,1,110025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,120000,120.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,93,23,4.483333333333333,1.8015425489162213,20230425145232,1,120025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,130000,130.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,76,21,4.1866666666666665,1.6494578233804922,20230425145233,1,130025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,140000,140.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,78,28,2.8533333333333335,0.4906231864793093,20230425145233,1,140025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,150000,150.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,132,25,5.988888888888889,1.8380075094890858,20230425145233,1,150025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,14545.573986120742,4630.0,160000,160.0,5,<function gentle_check at 0x00000171B6645900>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,93,31,3.2942857142857145,0.8900171977242338,20230425145234,1,160025
