sample,excitation_props,repetitions,collection_time_point,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,excitation_intensity,excitation_polarization,trigger_intensity,trigger_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x0000020E6682FDF0>,<__main__.ExcitationProperties object at 0x0000020E66830910>,10,110000.0,1659.0,45.78209256903839,565.0,13.579396157414365,2224.0,56.09278028409717,2.936620215692203,0.05928937806925383,20230530_132029,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66830C10>
<__main__.SampleProperties object at 0x0000020E66831840>,<__main__.ExcitationProperties object at 0x0000020E668315A0>,10,120000.0,1623.5,50.640398892583775,562.5,15.259423318068086,2186.0,44.82186966202994,2.889604238348217,0.14730383881275708,20230530_132127,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66831C90>
<__main__.SampleProperties object at 0x0000020E668327D0>,<__main__.ExcitationProperties object at 0x0000020E66832890>,10,130000.0,1576.1,49.63960112651994,540.8,20.67752402972851,2116.9,37.34287080555002,2.9211433657234487,0.18781480550568957,20230530_132235,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66832B90>
<__main__.SampleProperties object at 0x0000020E6682FDF0>,<__main__.ExcitationProperties object at 0x0000020E668339A0>,10,140000.0,1560.6,43.58485975657143,540.3,13.56502856613284,2100.9,44.372175966477016,2.8904534531293598,0.11554478206545842,20230530_132340,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66833700>
<__main__.SampleProperties object at 0x0000020E66833AF0>,<__main__.ExcitationProperties object at 0x0000020E66834640>,10,150000.0,1542.2,22.639787984873003,523.7,17.280335644888382,2065.9,31.443441287492693,2.947715323768291,0.09780477200265339,20230530_132453,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66834A00>
<__main__.SampleProperties object at 0x0000020E66835540>,<__main__.ExcitationProperties object at 0x0000020E66835600>,10,160000.0,1507.7,34.96012013709335,509.6,8.392854103342914,2017.3,29.342971901291797,2.9602305547619574,0.11015579660181787,20230530_132608,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66835900>
<__main__.SampleProperties object at 0x0000020E66823B50>,<__main__.ExcitationProperties object at 0x0000020E66835990>,10,170000.0,1473.0,25.30217381965431,518.2,21.117765033260504,1991.2,22.617692189964917,2.8481478061158483,0.14383945679626692,20230530_132729,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66833AF0>
<__main__.SampleProperties object at 0x0000020E668372B0>,<__main__.ExcitationProperties object at 0x0000020E66837400>,10,180000.0,1445.8,36.9859432757906,502.0,18.40108692441835,1947.8,47.397890248406625,2.882958078540763,0.1043459369000099,20230530_132849,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E668377C0>
<__main__.SampleProperties object at 0x0000020E66837A00>,<__main__.ExcitationProperties object at 0x0000020E66838100>,10,190000.0,1408.2,45.18141210719293,488.9,21.421717951648976,1897.1,59.5490554081255,2.883694949392114,0.1093954166643751,20230530_133011,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66838700>
<__main__.SampleProperties object at 0x0000020E66837430>,<__main__.ExcitationProperties object at 0x0000020E668394E0>,10,200000.0,1384.5,30.8455831522116,479.0,19.063053270659452,1863.5,41.451779213925185,2.894113857324183,0.11280165035009378,20230530_133137,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66839240>
