molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,170000,170.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,17617,5950,29457,2.9665719947274085,0.15619714839790705,170025.9242789458,0.028483880068860844,20230508173715,1,170025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,180000,180.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,17430,5871,29157,2.971646662160846,0.10464803728730936,180025.92017552612,0.03005737211751915,20230508173737,1,180025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,190000,190.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,17337,5862,29177,2.9600686939249052,0.10074712061072259,190025.93072863496,0.029561817124432014,20230508173800,1,190025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,200000,200.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,16734,5689,28209,2.9544807176851093,0.21017048622448906,200025.91251292118,0.02744454805976069,20230508173824,1,200025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,210000,210.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,16798,5742,28245,2.9294781479372896,0.15835536015895468,210025.94117326738,0.02741142908944624,20230508173851,1,210025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,220000,220.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,16764,5616,28145,2.9872978404266335,0.08027526995156603,220025.91436593552,0.029020724340097476,20230508173918,1,220025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,230000,230.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,16409,5532,27488,2.9710127328156197,0.13114138803103362,230025.90918845692,0.02538367197652406,20230508173943,1,230025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,240000,240.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,16161,5397,27089,2.999485300994392,0.15844371344959093,240025.90782179093,0.019817464264002833,20230508174017,1,240025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,250000,250.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,16372,5522,27282,2.975896947183643,0.24140646279245453,250025.93345313618,0.021895530181479706,20230508174048,1,250025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,260000,260.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,15995,5451,26936,2.940639108615548,0.16441818156913218,260025.91366950818,0.02693636662180316,20230508174120,1,260025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,270000,270.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,15793,5406,26569,2.9270705041318013,0.16366907835430375,270025.918975521,0.030368346043657665,20230508174149,1,270025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,280000,280.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,15589,5272,26346,2.9580027136686424,0.09429496896651601,280025.9034438597,0.03450946473450295,20230508174222,1,280025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,290000,290.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,15481,5202,25923,2.9808709583427726,0.13754634380657138,290025.92279360583,0.020099818821116715,20230508174302,1,290025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,300000,300.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,15479,5196,25907,2.9835559413410193,0.1493712771204787,300025.90885721456,0.03654278767894401,20230508174334,1,300025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,310000,310.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,15150,5062,25450,2.9978600323705487,0.13781709298091507,310025.9144947267,0.029007175529041827,20230508174403,1,310025
