molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,10000,10.0,5,<function gentle_check at 0x0000025AD61B0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8803,3771,15542,2.336269986690523,0.07153841904847391,10026.39179607211,0.04284459395711542,20230508163220,1,10025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,20000,20.0,5,<function gentle_check at 0x0000025AD61B0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9465,3421,16149,2.768131329590899,0.10220518823318564,20026.354890965213,0.056634472996838735,20230508163224,1,20025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,30000,30.0,5,<function gentle_check at 0x0000025AD61B0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9497,3337,16199,2.848873974613304,0.11032721098599163,30026.387394431855,0.023467118037983334,20230508163228,1,30025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,40000,40.0,5,<function gentle_check at 0x0000025AD61B0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9468,3152,15841,3.01231910073111,0.17959705608045828,40026.38737798667,0.03211497678090686,20230508163232,1,40025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,50000,50.0,5,<function gentle_check at 0x0000025AD61B0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9315,3209,15732,2.9059046938337505,0.09915369156832543,50026.39367444249,0.01710323757222924,20230508163237,1,50025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,60000,60.0,5,<function gentle_check at 0x0000025AD61B0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9098,3022,15131,3.01566080825748,0.118555400449292,60026.33249839069,0.051800309620644955,20230508163242,1,60025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,70000,70.0,5,<function gentle_check at 0x0000025AD61B0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8909,3013,14999,2.9589414384216854,0.09863258660058709,70026.38798453768,0.020729864352887675,20230508163247,1,70025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,80000,80.0,5,<function gentle_check at 0x0000025AD61B0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8731,3076,14857,2.838465220703128,0.07483288604683044,80026.39265959684,0.030179126256949837,20230508163252,1,80025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,90000,90.0,5,<function gentle_check at 0x0000025AD61B0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8602,2932,14461,2.9387125144054944,0.13333213215130696,90026.37322189842,0.054975237580440886,20230508163258,1,90025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,100000,100.0,5,<function gentle_check at 0x0000025AD61B0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8579,2860,14351,3.0020378450477696,0.09031155513216495,100026.36487531578,0.026187074186515096,20230508163303,1,100025
